country_code,year,ElectricityAccess_PercentofPopulation,CO2Emissions_Agriculture,CO2Emissions_TransportEnergy,CO2Emissions_Waste,ForestArea_PercentofLand,RenewableEnergy_Consumption_Percent,GreenhouseGasEmissions_TotalperCapita,id,country_name,region,regional_median
ALB,2023,0.0,0.049,1.6819,0.0029,0.0,0.0,2.794529587,,Albania,Europe and Central Asia,6.5015912305
ALB,2022,100.0,0.0485,1.6681,0.0029,28.7919708,0.0,2.812409885,,Albania,Europe and Central Asia,6.5015912305
USA,2023,0.0,6.3151,1710.6454,0.0034,0.0,0.0,17.79796745,,United States,North America,18.06254835
USA,2021,100.0,6.3594,1663.6783,0.0034,33.86692641,10.9,18.06254835,,United States,North America,18.06254835
USA,2022,100.0,6.3487,1699.428,0.0034,33.86692641,0.0,18.14201729,,United States,North America,18.06254835
MDV,2021,100.0,0.0,1.3286,0.0036,2.733333333,1.4,5.487897023,,Maldives,South Asia,2.0916889505
MDV,2022,100.0,0.0,1.4124,0.0037,2.733333333,1.2,5.698274776,,Maldives,South Asia,2.0916889505
BIH,2023,0.0,0.003,4.4,0.0038,0.0,0.0,9.229929738,,Bosnia and Herzegovina,Europe and Central Asia,6.5015912305
MDV,2023,0.0,0.0,1.4715,0.0038,0.0,0.0,5.870789401,,Maldives,South Asia,2.0916889505
BIH,2021,100.0,0.0053,4.1802,0.0038,42.73261719,36.6,9.3311457,,Bosnia and Herzegovina,Europe and Central Asia,6.5015912305
BIH,2022,100.0,0.0038,4.3349,0.0038,42.73261719,0.0,9.435746733,,Bosnia and Herzegovina,Europe and Central Asia,6.5015912305
MLI,2023,0.0,0.1554,3.3219,0.011,0.0,0.0,1.562588886,,Mali,Sub-Saharan Africa,1.562588886
PRK,2021,52.6,0.0254,4.4151,0.011,49.90333029,14.7,3.164051936,,"Korea, Dem. People's Rep.",East Asia and Pacific,3.598782713
HKG,2021,100.0,0.0,6.9097,0.011,0.0,0.4,5.459510866,,"Hong Kong SAR, China",East Asia and Pacific,3.598782713
BLR,2023,0.0,0.4522,9.682,0.0123,0.0,0.0,9.182268869,,Belarus,Europe and Central Asia,6.5015912305
KHM,2021,82.5,0.0,6.8498,0.0123,44.82596873,52.4,2.837282587,,Cambodia,East Asia and Pacific,3.598782713
UKR,2022,100.0,2.7472,21.7806,0.0123,16.74490853,0.0,5.273600673,,Ukraine,Europe and Central Asia,6.5015912305
BLR,2021,100.0,0.4772,10.3895,0.014,43.27223454,8.2,9.534468108,,Belarus,Europe and Central Asia,6.5015912305
AUS,2023,0.0,3.4267,95.6792,0.0158,0.0,0.0,3.598782713,,Australia,East Asia and Pacific,3.598782713
LAO,2023,0.0,0.0,2.6875,0.0158,0.0,0.0,5.486789094,,Lao PDR,East Asia and Pacific,3.598782713
AUS,2022,100.0,3.3159,89.2178,0.0158,17.42131456,0.0,3.598782713,,Australia,East Asia and Pacific,3.598782713
