Country Code,Year,Series Name,Series Code,Value
ARE,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ARE,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6725
ARE,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,3.350978306
ARE,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
ARE,2022,Classification of national industry,SPI.D5.2.3.CNIN,1
ARE,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
ARE,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
ARE,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ARE,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6725
ARE,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.906840097
ARE,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
ARE,2023,Classification of national industry,SPI.D5.2.3.CNIN,1
ARE,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
ARE,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
ARE,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ARE,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6725
ARG,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,3.770809452
ARG,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
ARG,2021,Classification of national industry,SPI.D5.2.3.CNIN,0.5
ARG,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
ARG,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ARG,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
ARG,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,94.99074167
ARG,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,4.556149155
ARG,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
