Country Code,Year,Series Name,Series Code,Value
AFW,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,1.6488
AFW,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,101.254
AFW,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.011
AFW,2021,Forest area (% of land area),AG.LND.FRST.ZS,19.73203653
AFW,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
AFW,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.8246427
AFW,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,55.58890802
AFW,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,1.8345
AFW,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,105.3862
AFW,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0114
AFW,2022,Forest area (% of land area),AG.LND.FRST.ZS,19.64748777
AFW,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
AFW,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.796327159
AFW,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
AFW,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,2.0538
AFW,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,102.7708
AFW,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0119
AFW,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
AFW,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
AFW,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.778662367
AGO,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.2
AGO,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
AGO,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,7.09
AGO,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
AGO,2021,Forest area (% of land area),AG.LND.FRST.ZS,52.98172239
AGO,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,52.9
AGO,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.865174326
AGO,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.5
AGO,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
AGO,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,8.1334
AGO,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
AGO,2022,Forest area (% of land area),AG.LND.FRST.ZS,52.53649723
AGO,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
AGO,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.886087984
AGO,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
AGO,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
AGO,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,8.4967
AGO,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
AGO,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
AGO,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
AGO,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.842203351
ALB,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
ALB,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0483
ALB,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,1.7487
ALB,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0028
ALB,2021,Forest area (% of land area),AG.LND.FRST.ZS,28.7919708
ALB,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,41.9
ALB,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.985880969
ALB,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
ALB,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0485
ALB,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,1.6681
ALB,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0029
ALB,2022,Forest area (% of land area),AG.LND.FRST.ZS,28.7919708
ALB,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ALB,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.812409885
ALB,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
ALB,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.049
ALB,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,1.6819
ALB,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0029
ALB,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
ALB,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ALB,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.794529587
AND,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
AND,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
AND,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,0
AND,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
AND,2021,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319
AND,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,18.4
AND,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0
AND,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
AND,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
AND,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,0
AND,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
AND,2022,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319
AND,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,18.7
AND,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0
AND,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
AND,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
AND,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,0
AND,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
AND,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
AND,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
AND,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0
ARB,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.43409477
ARB,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,3.993
ARB,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,420.9499
ARB,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0033
ARB,2021,Forest area (% of land area),AG.LND.FRST.ZS,2.791120845
ARB,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ARB,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,6.528393837
ARB,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.65451791
ARB,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,3.8017
ARB,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,443.1423
ARB,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0033
ARB,2022,Forest area (% of land area),AG.LND.FRST.ZS,2.773553927
ARB,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ARB,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,6.584713774
ARB,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
ARB,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,3.6728
ARB,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,455.0742
ARB,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0035
ARB,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
ARB,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ARB,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,6.527345196
ARE,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
ARE,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
ARE,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,36.2537
ARE,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
ARE,2021,Forest area (% of land area),AG.LND.FRST.ZS,4.467755562
ARE,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1
ARE,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,26.83663925
ARE,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
ARE,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
ARE,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,42.0724
ARE,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
ARE,2022,Forest area (% of land area),AG.LND.FRST.ZS,4.467755562
ARE,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ARE,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,26.5641202
ARE,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
ARE,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
ARE,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,43.3677
ARE,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
ARE,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
ARE,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ARE,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,25.54650525
ARG,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
ARG,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,2.1242
ARG,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,46.9494
ARG,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0117
ARG,2021,Forest area (% of land area),AG.LND.FRST.ZS,10.40076395
ARG,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,9.2
ARG,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,8.1128999
ARG,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
ARG,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,2.2706
ARG,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,49.2634
ARG,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0118
ARG,2022,Forest area (% of land area),AG.LND.FRST.ZS,10.3611378
ARG,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ARG,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,8.253217325
ARG,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
ARG,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,2.4059
ARG,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,47.4454
ARG,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.012
ARG,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
ARG,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ARG,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,8.030246824
ARM,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
ARM,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0446
ARM,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2.3661
ARM,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
ARM,2021,Forest area (% of land area),AG.LND.FRST.ZS,11.53003161
ARM,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,9.1
ARM,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.602403538
ARM,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
ARM,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0449
ARM,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2.3845
ARM,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
ARM,2022,Forest area (% of land area),AG.LND.FRST.ZS,11.52265543
ARM,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
