Country Code,Year,Series Name,Series Code,Value
AFG,2022,Trade (% of GDP),NE.TRD.GNFS.ZS,72.88546961
AFG,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,0
AFG,2023,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
AFG,2023,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0
AFG,2023,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,0
AFG,2023,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0
AFG,2023,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
AFG,2023,GDP (current US$),NY.GDP.MKTP.CD,17233051620
AFG,2023,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.710886791
AFG,2023,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,3651720075
AFG,2023,Gini index,SI.POV.GINI,0
AFG,2023,Gross national expenditure (current US$),NE.DAB.TOTL.CD,23052954246
AFG,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0
AFG,2023,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.961653541
AFG,2023,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.961653541
AFG,2023,Military expenditure (current USD),MS.MIL.XPND.CD,0
AFG,2023,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
AFG,2023,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
AFG,2023,Trade (% of GDP),NE.TRD.GNFS.ZS,67.27334328
AFG,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,0
AFW,2021,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
AFW,2021,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.778296319
AFW,2021,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,14503269204
