country_code,year,BroadMoney_Ratio,Classification_HouseholdConsumption,Classification_NationalIndustry,Classification_StatusofEmployment,GovernmentFinance_Stats,MonetaryandFinancial_Stats,OfficialExchangeRate,country_name,region
ATG,2023,4.409932182,1.0,0.5,0.0,0.0,1.0,2.7,Antigua and Barbuda,Latin America and the Caribbean
BDI,2021,5.188505648,1.0,0.5,0.0,0.0,1.0,1975.950881,Burundi,Sub-Saharan Africa
BDI,2022,9.456492818,1.0,0.5,0.0,0.0,1.0,2034.306634,Burundi,Sub-Saharan Africa
BDI,2023,9.456492818,1.0,0.5,1.0,0.0,1.0,2574.051749,Burundi,Sub-Saharan Africa
BLZ,2021,4.727049017,1.0,0.5,1.0,0.0,1.0,2.0,Belize,Latin America and the Caribbean
BLZ,2022,4.262144473,1.0,0.5,1.0,0.0,1.0,2.0,Belize,Latin America and the Caribbean
BLZ,2023,4.694200514,1.0,0.5,1.0,0.0,1.0,2.0,Belize,Latin America and the Caribbean
BOL,2021,8.741694813,1.0,0.5,1.0,0.0,1.0,6.91,Bolivia,Latin America and the Caribbean
BOL,2022,0.0,1.0,0.5,1.0,0.0,1.0,6.91,Bolivia,Latin America and the Caribbean
BRN,2021,2.377813477,1.0,0.5,1.0,0.0,1.0,1.343806963,Brunei Darussalam,East Asia and Pacific
BRN,2022,2.321693252,1.0,0.5,1.0,0.0,1.0,1.378956397,Brunei Darussalam,East Asia and Pacific
BRN,2023,2.749235549,1.0,0.5,1.0,0.0,1.0,1.343079601,Brunei Darussalam,East Asia and Pacific
CAF,2021,1.777916543,0.0,0.5,0.0,0.0,1.0,554.530675,Central African Republic,Sub-Saharan Africa
CAF,2022,2.093589539,0.0,0.5,0.0,0.0,1.0,623.7597009,Central African Republic,Sub-Saharan Africa
CAF,2023,0.0,1.0,0.5,0.0,0.0,1.0,606.5697502,Central African Republic,Sub-Saharan Africa
CIV,2021,0.0,1.0,0.5,1.0,0.0,1.0,554.530675,Cote d'Ivoire,Sub-Saharan Africa
CIV,2022,0.0,1.0,0.5,1.0,0.0,1.0,623.7597009,Cote d'Ivoire,Sub-Saharan Africa
CIV,2023,0.0,1.0,0.5,1.0,0.0,1.0,606.5697502,Cote d'Ivoire,Sub-Saharan Africa
COD,2021,0.0,1.0,0.5,1.0,0.0,1.0,1989.391471,"Congo, Dem. Rep.",Sub-Saharan Africa
COD,2022,0.0,1.0,0.5,1.0,0.0,1.0,2006.708219,"Congo, Dem. Rep.",Sub-Saharan Africa
COD,2023,0.0,1.0,0.5,1.0,0.0,1.0,2340.035704,"Congo, Dem. Rep.",Sub-Saharan Africa
DMA,2021,2.745212636,1.0,0.5,0.0,0.0,1.0,2.7,Dominica,Latin America and the Caribbean
DMA,2022,2.531636446,1.0,0.5,0.0,0.0,1.0,2.7,Dominica,Latin America and the Caribbean
DMA,2023,2.80606191,1.0,0.5,0.0,0.0,1.0,2.7,Dominica,Latin America and the Caribbean
DZA,2021,2.644695297,1.0,0.5,1.0,0.0,1.0,135.0640583,Algeria,Middle East and North Africa
DZA,2022,2.24993653,1.0,0.5,1.0,0.0,1.0,141.994975,Algeria,Middle East and North Africa
DZA,2023,2.205332567,1.0,0.5,1.0,0.0,1.0,135.8429333,Algeria,Middle East and North Africa
GAB,2021,0.0,1.0,0.5,1.0,0.0,1.0,554.530675,Gabon,Sub-Saharan Africa
GAB,2022,0.0,1.0,0.5,1.0,0.0,1.0,623.7597009,Gabon,Sub-Saharan Africa
GAB,2023,0.0,1.0,0.5,1.0,0.0,1.0,606.5697502,Gabon,Sub-Saharan Africa
